Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[rad]
68.03320309	8.074218407	-0.1852251
68.13281249	8.109572344	-0.1860988
68.23242189	8.149223402	-0.1870506
68.33203129	8.187575266	-0.187959
68.43164059	8.231219836	-0.1888614
68.53124999	8.272345178	-0.1897919
68.63085939	8.313592523	-0.1907273
68.73046879	8.346765302	-0.1916239
68.83007809	8.389414288	-0.1925696
68.92968749	8.427127264	-0.1934846
69.02929689	8.467560634	-0.1944017
69.12890629	8.509929292	-0.195271
69.22851559	8.544402197	-0.1962241
69.32812499	8.593053557	-0.1971391
69.42773439	8.627310395	-0.1980681
69.52734379	8.665362373	-0.1989614
69.62695309	8.709637448	-0.1998954
69.72656249	8.750436828	-0.2008601
69.82617189	8.792929351	-0.2017039
69.92578129	8.828331716	-0.2026565
70.02539059	8.867551573	-0.2035719
70.12499999	8.91127903	-0.2044808
70.22460939	8.947329596	-0.2053805
70.32421879	8.990670554	-0.2062936
70.42382809	9.025313891	-0.2072631
70.52343749	9.067954496	-0.2081475
70.62304689	9.109061211	-0.2090612
70.72265629	9.150006808	-0.2099674
70.82226559	9.184411727	-0.21094
70.92187499	9.226582944	-0.2118104
71.02148439	9.264406748	-0.2127796
71.12109379	9.306218475	-0.2136931
71.22070309	9.342398494	-0.2146039
71.32031249	9.382857941	-0.2155255
71.41992189	9.426841512	-0.2164355
