Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[%rad]
66.83789063	0.00057115	2.73E-05
66.9375	0.004923091	2.71E-05
67.03710938	0.0016721	6.47E-06
67.13671875	-0.00131327	6.95E-06
67.23632813	-0.001111158	1.12E-05
67.3359375	-0.002223332	2.81E-05
67.43554688	-0.000558485	-2.74E-05
67.53515625	-0.001476957	3.81E-06
67.63476563	-0.004378864	2.68E-05
67.734375	0.006003196	-4.66E-06
67.83398438	0.002409401	-3.84E-06
67.93359375	-0.002837586	7.02E-06
68.03320313	0.000103429	6.08E-06
68.1328125	-0.003071412	7.17E-06
68.23242188	-0.001806012	-1.23E-05
68.33203125	-0.000646233	7.15E-06
68.43164063	0.000490582	6.47E-06
68.53125	7.67E-06	7.02E-06
68.63085938	-0.002318598	2.78E-05
68.73046875	-0.000837181	-2.48E-06
68.83007813	3.22E-05	-3.64E-06
68.9296875	0.002353238	5.74E-06
69.02929688	-0.001357275	-2.60E-05
69.12890625	0.000883369	3.54E-05
69.22851563	-0.003709376	6.80E-06
69.328125	-0.000182895	2.40E-06
