Time[sec]	Top_Inplane_Disp[mm]	Top_Outofplane_Disp[mm]	Top_Inplane_Rotation[rad]
40.34179688	-0.007345512	0.000952946	1.20E-07
40.44140625	-0.001961151	-0.004133454	-1.56E-07
40.54101563	-0.002802586	-0.005488113	4.19E-08
40.640625	-0.004801367	0.000873841	1.47E-07
40.74023438	0.000241039	-0.003019021	3.59E-07
40.83984375	0.002006551	-0.000498203	1.21E-07
40.93945313	-0.001364233	-0.00500605	1.30E-07
41.0390625	0.001134251	-0.002015241	7.31E-08
41.13867188	-0.001440694	-0.000844049	1.29E-07
41.23828125	-0.000290803	0.001511339	-2.67E-07
41.33789063	-0.00253307	0.001284416	2.38E-07
41.4375	0.000350876	0.000869217	1.23E-07
41.53710938	-0.001124126	-0.004181889	4.07E-08
41.63671875	-0.000676703	-0.00084092	1.25E-07
41.73632813	-2.45E-05	0.001632317	-8.43E-08
41.8359375	-0.001338092	0.004022356	1.15E-07
41.93554688	-0.002272919	0.000673226	-1.18E-07
42.03515625	4.26E-05	-0.0035957	2.43E-07
42.13476563	-0.000833727	-0.003567355	1.31E-07
42.234375	-2.29E-05	0.003870533	8.10E-08
42.33398438	0.000284573	-0.000785464	-9.97E-08
42.43359375	-0.00535128	0.000632882	1.20E-07
42.53320313	-0.002020816	0.001389593	3.32E-07
42.6328125	-0.00166472	-0.001340165	-1.31E-07
42.73242188	0.001722089	0.003533397	1.06E-07
42.83203125	-0.001153768	-0.002490653	5.03E-07
42.93164063	-0.001143271	0.003999524	1.11E-07
43.03125	-0.006219847	-0.001599987	1.27E-07
43.13085938	2.87E-05	0.003245101	-4.25E-07
43.23046875	-0.000380607	0.003614	1.11E-07
43.33007813	-0.003503299	0.004343497	3.46E-07
43.4296875	0.000528696	0.00072198	8.71E-08
43.52929688	-0.000303054	-0.003520312	1.29E-07
43.62890625	0.002114799	-0.003780521	-1.99E-07
43.72851563	-0.001010561	-0.00266098	1.36E-07
43.828125	-0.001709104	0.001812449	1.55E-07
43.92773438	-0.005490177	-0.000591213	-3.12E-07
44.02734375	0.002263592	-0.003640736	9.17E-08
44.12695313	-0.001062568	0.004164614	3.10E-07
44.2265625	-0.000824615	0.003648929	1.01E-07
44.32617188	-0.00089101	-0.00211805	-7.01E-08
44.42578125	0.00035758	0.002394414	1.25E-07
44.52539063	-0.001219371	0.005187567	1.02E-07
44.625	0.000721375	-0.004432779	2.55E-07
44.72460938	0.002904811	0.000229072	1.94E-07
44.82421875	-0.001363603	0.005062548	-1.15E-07
44.92382813	-3.05E-05	-0.000169309	-8.80E-08
45.0234375	0.000463151	-0.001540214	1.22E-07
45.12304688	-0.001128294	-0.00054864	3.89E-07
45.22265625	-0.000284732	0.001896484	-2.20E-07
45.32226563	-0.001951432	-0.000677938	1.84E-07
45.421875	-0.00459882	-0.000599735	4.15E-07
45.52148438	-0.004097389	0.000529273	4.70E-08
45.62109375	-0.001375758	-0.005225275	1.14E-07
45.72070313	0.000847754	0.001578053	1.98E-07
45.8203125	0.003044689	-0.002181875	8.34E-08
45.91992188	0.000558357	0.00267536	1.07E-07
46.01953125	-0.001931357	0.001246169	1.12E-07
46.11914063	-0.00182612	-0.000974861	1.18E-07
46.21875	-0.003489729	0.00120558	1.09E-07
46.31835938	-0.00241964	0.002682536	1.12E-07
46.41796875	-0.002104316	0.00198958	-1.42E-07
46.51757813	-0.001147773	-0.000541059	2.10E-09
46.6171875	0.001697263	-0.00173437	3.21E-07
46.71679688	-0.002855541	0.002074441	1.26E-07
46.81640625	4.90E-05	0.005046552	1.54E-08
46.91601563	-0.003818064	0.001990822	1.02E-07
47.015625	-0.002077458	0.001900375	8.78E-08
47.11523438	0.001340131	-9.56E-05	1.14E-07
47.21484375	0.000629244	-0.000326595	6.66E-07
47.31445313	0.000186959	0.00330598	1.04E-07
47.4140625	-0.003242263	0.001154125	-2.10E-07
47.51367188	-0.001060114	0.002810873	-3.49E-07
47.61328125	0.003108219	-0.002202848	1.19E-07
47.71289063	-0.000569162	-0.002469932	-8.50E-08
47.8125	-0.002704098	0.001912011	-2.35E-08
47.91210938	0.000691524	0.00026498	-1.10E-07
48.01171875	0.00018066	0.004083161	2.26E-07
48.11132813	-0.005360804	0.001764022	1.67E-07
48.2109375	-0.001286403	0.002676935	6.66E-08
48.31054688	-0.001350911	0.003646887	-1.41E-07
48.41015625	-0.003970009	0.00065746	1.70E-08
48.50976563	0.000382778	-0.001739991	1.13E-07
48.609375	0.001296948	0.001953639	-1.21E-07
48.70898438	-0.004403157	-0.001727527	1.13E-07
48.80859375	0.00252264	4.03E-05	1.07E-07
48.90820313	-0.000868359	0.006094435	9.66E-08
49.0078125	0.002196114	-0.00043011	1.14E-07
49.10742188	-0.002867266	0.001128189	-2.30E-07
49.20703125	-0.003723236	-0.002897568	-9.92E-08
49.30664063	0.000716958	0.00090218	1.89E-07
49.40625	-0.001932221	0.000275398	1.08E-07
49.50585938	-0.002282736	-0.000164487	1.10E-07
49.60546875	-0.002471399	0.000636923	6.29E-08
49.70507813	-0.005527433	0.005325116	-2.37E-08
49.8046875	-0.004120538	0.002686627	3.43E-07
49.90429688	-0.003325256	0.003416519	6.17E-08
50.00390625	-5.63E-07	-0.003112635	-9.97E-08
50.10351563	-0.002613134	-0.006109949	-1.77E-07
50.203125	-0.00100694	-0.001275517	1.09E-07
50.30273438	-0.000735472	0.004329286	3.39E-07
50.40234375	-0.000695418	0.000946674	-1.40E-08
50.50195313	-0.003231908	0.00372202	9.62E-08
50.6015625	0.003754167	0.002034315	1.79E-07
50.70117188	-0.001931023	-0.00091831	1.95E-07
50.80078125	-0.003846382	-0.000510891	6.33E-08
50.90039063	0.000312432	-0.006627722	-3.36E-07
51	0.002129802	0.003500255	9.31E-08
