Time[sec]	Top_Inplane_Disp[mm]
152.3486328	14.37482331
152.5488281	14.34817072
152.7490234	14.33297526
152.9492188	14.31307569
153.1494141	14.28699028
153.3496094	14.26951122
153.5498047	14.25067801
153.75	14.22507595
153.9501953	14.20421898
154.1503906	14.18574527
154.3505859	14.16571718
154.5507813	14.14282806
154.7509766	14.12494574
154.9511719	14.10452649
155.1513672	14.08254728
155.3515625	14.06056061
155.5517578	14.04279005
155.7519531	14.01666272
155.9521484	14.00208939
156.1523438	13.9818741
156.3525391	13.96253053
156.5527344	13.93763255
156.7529297	13.91797699
156.953125	13.90093751
157.1533203	13.8751762
157.3535156	13.86040729
157.5537109	13.83789536
157.7539063	13.81630357
157.9541016	13.79706711
158.1542969	13.77945766
158.3544922	13.75533268
158.5546875	13.73683196
158.7548828	13.71652074
158.9550781	13.70383706
159.1552734	13.67581822
159.3554688	13.66204396
159.5556641	13.63623142
159.7558594	13.62056844
159.9560547	13.59693892
160.15625	13.58239073
160.3564453	13.55792768
160.5566406	13.54078948
160.7568359	13.51512037
160.9570313	13.50085065
161.1572266	13.4746572
161.3574219	13.45768105
161.5576172	13.43769766
161.7578125	13.41333427
161.9580078	13.39664962
162.1582031	13.37051205
162.3583984	13.35226558
162.5585938	13.33264913
162.7587891	13.31247203
162.9589844	13.28804716
163.1591797	13.26981094
163.359375	13.25622573
163.5595703	13.23083229
163.7597656	13.21043912
163.9599609	13.19196168
164.1601563	13.17137666
164.3603516	13.15240934
164.5605469	13.13427277
164.7607422	13.11047748
164.9609375	13.0866142
165.1611328	13.07301782
165.3613281	13.05300929
165.5615234	13.03058024
165.7617188	13.01392261
165.9619141	12.99627498
166.1621094	12.97242101
166.3623047	12.94836868
166.5625	12.93053571
166.7626953	12.90786825
166.9628906	12.89264765
167.1630859	12.87227403
167.3632813	12.84684613
167.5634766	12.82938942
167.7636719	12.80760299
167.9638672	12.79131602
168.1640625	12.76472025
168.3642578	12.75307685
168.5644531	12.73089088
168.7646484	12.70764787
168.9648438	12.68931385
169.1650391	12.67072652
169.3652344	12.64732517
169.5654297	12.62803655
169.765625	12.61025388
169.9658203	12.58549187
170.1660156	12.56776694
170.3662109	12.54681591
170.5664063	12.52529863
170.7666016	12.50630431
170.9667969	12.48805597
171.1669922	12.46479619
171.3671875	12.44553458
171.5673828	12.42665481
171.7675781	12.40940299
171.9677734	12.38547731
172.1679688	12.36940082
172.3681641	12.34488469
172.5683594	12.32613716
172.7685547	12.30361685
172.96875	12.28444837
173.1689453	12.26652414
173.3691406	12.24497799
173.5693359	12.22704351
173.7695313	12.20598631
173.9697266	12.1845752
174.1699219	12.16828823
174.3701172	12.15061639
174.5703125	12.12479267
174.7705078	12.10938394
174.9707031	12.08530739
175.1708984	12.06383575
175.3710938	12.04587612
175.5712891	12.02611532
175.7714844	12.0048821
175.9716797	11.98827848
176.171875	11.96695305
176.3720703	11.94748003
176.5722656	11.92310732
176.7724609	11.90674864
176.9726563	11.88733988
177.1728516	11.8669793
177.3730469	11.84748299
177.5732422	11.83049474
177.7734375	11.80588547
177.9736328	11.78469043
178.1738281	11.76653057
178.3740234	11.74656302
178.5742188	11.72335818
178.7744141	11.70668378
178.9746094	11.68606151
179.1748047	11.66612934
179.375	11.64001785
179.5751953	11.62141841
179.7753906	11.60972565
179.9755859	11.58448774
180.1757813	11.56514697
180.3759766	11.54032256
180.5761719	11.52831968
180.7763672	11.50606852
180.9765625	11.48520689
181.1767578	11.46821026
181.3769531	11.44714281
181.5771484	11.42437942
181.7773438	11.40708663
181.9775391	11.38647273
182.1777344	11.36793196
182.3779297	11.34053152
182.578125	11.32708695
182.7783203	11.30487304
182.9785156	11.28103025
183.1787109	11.26739476
183.3789063	11.24586165
183.5791016	11.22037414
183.7792969	11.20383479
183.9794922	11.18313801
184.1796875	11.16808224
184.3798828	11.14684902
184.5800781	11.12673152
184.7802734	11.1073032
184.9804688	11.08080707
